author,title,link,year
Yezhou Yang,Active Adversarial Evader Tracking with a Probabilistic Pursuer under the Pursuit-Evasion Game Framework,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k2suuZgAAAAJ&citation_for_view=k2suuZgAAAAJ:6yz0xqPARnAC,2019
Yezhou Yang,Compressing Visual-linguistic Model via Knowledge Distillation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k2suuZgAAAAJ&citation_for_view=k2suuZgAAAAJ:DBa1UEJaJKAC,2021
Yezhou Yang,VQA-LOL: Visual Question Answering under the Lens of Logic,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k2suuZgAAAAJ&citation_for_view=k2suuZgAAAAJ:cK4Rrx0J3m0C,2020
Yezhou Yang,Grasp Type Revisited: A Modern Perspective on A Classical Feature for Vision,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k2suuZgAAAAJ&citation_for_view=k2suuZgAAAAJ:kh2fBNsKQNwC,2015
Yezhou Yang,Benchmarking Spatial Relationships in Text-to-Image Generation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k2suuZgAAAAJ&citation_for_view=k2suuZgAAAAJ:DrR-2ekChdkC,2022
Yezhou Yang,Video2Commonsense: Generating Commonsense Descriptions to Enrich Video Captioning,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k2suuZgAAAAJ&citation_for_view=k2suuZgAAAAJ:MpfHP-DdYjUC,2020
Yezhou Yang,Explicit Reasoning over End-to-End Neural Architectures for Visual Question Answering,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k2suuZgAAAAJ&citation_for_view=k2suuZgAAAAJ:DJbcl8HfkQkC,2018
Yezhou Yang,A Cognitive System for Understanding Human Manipulation Actions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k2suuZgAAAAJ&citation_for_view=k2suuZgAAAAJ:hCrLmN-GePgC,2014
Yezhou Yang,Detection of Manipulation Action Consequences (MAC),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k2suuZgAAAAJ&citation_for_view=k2suuZgAAAAJ:foquWX3nUaYC,2013
Yezhou Yang,Integrating Knowledge and Reasoning in Image Understanding,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k2suuZgAAAAJ&citation_for_view=k2suuZgAAAAJ:4xDN1ZYqzskC,2019
Adam Doupé,Deep Android Malware Detection,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hsJqhNAAAAAJ&citation_for_view=hsJqhNAAAAAJ:hC7cP41nSMkC,2017
Adam Doupé,Why Johnny can’t pentest: an analysis of black-box web vulnerability scanners,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hsJqhNAAAAAJ&citation_for_view=hsJqhNAAAAAJ:u5HHmVD_uO8C,2010
Adam Doupé,Enemy of the State: A State-Aware Black-Box Web Vulnerability Scanner,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hsJqhNAAAAAJ&citation_for_view=hsJqhNAAAAAJ:2osOgNQ5qMEC,2012
Adam Doupé,Behind Closed Doors: Measurement and Analysis of CryptoLocker Ransoms in Bitcoin,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hsJqhNAAAAAJ&citation_for_view=hsJqhNAAAAAJ:3fE2CSJIrl8C,2016
Adam Doupé,Sunrise to sunset: Analyzing the end-to-end life cycle and effectiveness of phishing attacks at scale,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hsJqhNAAAAAJ&citation_for_view=hsJqhNAAAAAJ:g5m5HwL7SMYC,2020
Adam Doupé,Matched and mismatched SOCs: A qualitative study on security operations center issues,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hsJqhNAAAAAJ&citation_for_view=hsJqhNAAAAAJ:35N4QoGY0k4C,2019
Adam Doupé,Inside a phisher's mind: Understanding the anti-phishing ecosystem through phishing kit analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hsJqhNAAAAAJ&citation_for_view=hsJqhNAAAAAJ:isC4tDSrTZIC,2018
Adam Doupé,Phishfarm: A scalable framework for measuring the effectiveness of evasion techniques against browser phishing blacklists,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hsJqhNAAAAAJ&citation_for_view=hsJqhNAAAAAJ:BqipwSGYUEgC,2019
Adam Doupé,{PhishTime}: Continuous longitudinal measurement of the effectiveness of anti-phishing blacklists,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hsJqhNAAAAAJ&citation_for_view=hsJqhNAAAAAJ:zA6iFVUQeVQC,2020
Adam Doupé,Crawlphish: Large-scale analysis of client-side cloaking techniques in phishing,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hsJqhNAAAAAJ&citation_for_view=hsJqhNAAAAAJ:rO6llkc54NcC,2021
Adam Doupé,Going Native: Using a Large-Scale Analysis of Android Apps to Create a Practical Native-Code Sandboxing Policy,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hsJqhNAAAAAJ&citation_for_view=hsJqhNAAAAAJ:roLk4NBRz8UC,2016
Adam Doupé,SoK: Everyone Hates Robocalls: A Survey of Techniques against Telephone Spam,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hsJqhNAAAAAJ&citation_for_view=hsJqhNAAAAAJ:8k81kl-MbHgC,2016
Adam Doupé,A Large-Scale Study of Mobile Web App Security,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hsJqhNAAAAAJ&citation_for_view=hsJqhNAAAAAJ:ufrVoPGSRksC,2015
Adam Doupé,Honeyplc: A next-generation honeypot for industrial control systems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hsJqhNAAAAAJ&citation_for_view=hsJqhNAAAAAJ:a0OBvERweLwC,2020
Adam Doupé,HoneyMix: Toward SDN-based Intelligent Honeynet,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hsJqhNAAAAAJ&citation_for_view=hsJqhNAAAAAJ:hqOjcs7Dif8C,2016
Adam Doupé,Toward a Moving Target Defense for Web Applications,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hsJqhNAAAAAJ&citation_for_view=hsJqhNAAAAAJ:_FxGoFyzp5QC,2015
Adam Doupé,"Ten Years of iCTF: The Good, the Bad, and the Ugly",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hsJqhNAAAAAJ&citation_for_view=hsJqhNAAAAAJ:Y0pCki6q_DkC,2014
Adam Doupé,deDacota: Toward Preventing Server-Side XSS via Automatic Code and Data Separation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hsJqhNAAAAAJ&citation_for_view=hsJqhNAAAAAJ:IjCSPb-OGe4C,2013
Adam Doupé,Fear the ear: discovering and mitigating execution after redirect vulnerabilities,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hsJqhNAAAAAJ&citation_for_view=hsJqhNAAAAAJ:d1gkVwhDpl0C,2011
Adam Doupé,Shell We Play A Game? CTF-as-a-service for Security Education,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hsJqhNAAAAAJ&citation_for_view=hsJqhNAAAAAJ:HDshCWvjkbEC,2017
Andrea Richa,Accessing nearby copies of replicated objects in a distributed environment,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1LUuMc8AAAAJ&citation_for_view=1LUuMc8AAAAJ:u5HHmVD_uO8C,1997
Andrea Richa,The power of two random choices: A survey of techniques and results,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1LUuMc8AAAAJ&citation_for_view=1LUuMc8AAAAJ:u-x6o8ySG0sC,2001
Andrea Richa,Lecture notes in computer science (including subseries lecture notes in artificial intelligence and lecture notes in bioinformatics): Preface,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1LUuMc8AAAAJ&citation_for_view=1LUuMc8AAAAJ:Z5m8FVwuT1cC,2005
Andrea Richa,Coping with a smart jammer in wireless networks: A Stackelberg game approach,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1LUuMc8AAAAJ&citation_for_view=1LUuMc8AAAAJ:J_g5lzvAfSwC,2013
Andrea Richa,A jamming-resistant MAC protocol for single-hop wireless networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1LUuMc8AAAAJ&citation_for_view=1LUuMc8AAAAJ:2osOgNQ5qMEC,2008
Andrea Richa,Fast algorithms for finding O (congestion+ dilation) packet routing schedules,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1LUuMc8AAAAJ&citation_for_view=1LUuMc8AAAAJ:d1gkVwhDpl0C,1999
Andrea Richa,Amoebot-a new model for programmable matter,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1LUuMc8AAAAJ&citation_for_view=1LUuMc8AAAAJ:2P1L_qKh6hAC,2014
Andrea Richa,An O (log n) dominating set protocol for wireless ad-hoc networks under the physical interference model,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1LUuMc8AAAAJ&citation_for_view=1LUuMc8AAAAJ:qjMakFHDy7sC,2008
Andrea Richa,Universal shape formation for programmable matter,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1LUuMc8AAAAJ&citation_for_view=1LUuMc8AAAAJ:Tiz5es2fbqcC,2016
Andrea Richa,A jamming-resistant mac protocol for multi-hop wireless networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1LUuMc8AAAAJ&citation_for_view=1LUuMc8AAAAJ:ufrVoPGSRksC,2010
Andrea Richa,New Approximation Techniques for Some Ordering Problems.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1LUuMc8AAAAJ&citation_for_view=1LUuMc8AAAAJ:9yKSN-GCB0IC,1998
Andrea Richa,Leader election and shape formation with self-organizing programmable matter,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1LUuMc8AAAAJ&citation_for_view=1LUuMc8AAAAJ:yD5IFk8b50cC,2015
Andrea Richa,A distributed polylogarithmic time algorithm for self-stabilizing skip graphs,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1LUuMc8AAAAJ&citation_for_view=1LUuMc8AAAAJ:Se3iqnhoufwC,2009
Andrea Richa,Minimum maximum-degree publish–subscribe overlay network design,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1LUuMc8AAAAJ&citation_for_view=1LUuMc8AAAAJ:0EnyYjriUFMC,2011
Andrea Richa,Randomized protocols for low-congestion circuit routing in multistage interconnection networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1LUuMc8AAAAJ&citation_for_view=1LUuMc8AAAAJ:Tyk-4Ss8FVUC,1998
Andrea Richa,Linearization: Locally self-stabilizing sorting in graphs,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1LUuMc8AAAAJ&citation_for_view=1LUuMc8AAAAJ:roLk4NBRz8UC,2007
Andrea Richa,New approximation techniques for some linear ordering problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1LUuMc8AAAAJ&citation_for_view=1LUuMc8AAAAJ:WF5omc3nYNoC,2005
Andrea Richa,On the runtime of universal coating for programmable matter,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1LUuMc8AAAAJ&citation_for_view=1LUuMc8AAAAJ:EUQCXRtRnyEC,2016
Andrea Richa,An algorithmic framework for shape formation problems in self-organizing particle systems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1LUuMc8AAAAJ&citation_for_view=1LUuMc8AAAAJ:a0OBvERweLwC,2015
Andrea Richa,On balls and bins with deletions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1LUuMc8AAAAJ&citation_for_view=1LUuMc8AAAAJ:Y0pCki6q_DkC,1998
Ariane Middel,Impact of urban form and design on mid-afternoon microclimate in Phoenix Local Climate Zones,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DS2xTKMAAAAJ&citation_for_view=DS2xTKMAAAAJ:qjMakFHDy7sC,2014
Ariane Middel,"Impact of shade on outdoor thermal comfort—a seasonal field study in Tempe, Arizona",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DS2xTKMAAAAJ&citation_for_view=DS2xTKMAAAAJ:tFzHCjejgA0C,2016
Ariane Middel,Urban forestry and cool roofs: Assessment of heat mitigation strategies in Phoenix residential neighborhoods,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DS2xTKMAAAAJ&citation_for_view=DS2xTKMAAAAJ:KlAtU1dfN6UC,2015
Ariane Middel,Generating WUDAPT Level 0 data–Current status of production and evaluation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DS2xTKMAAAAJ&citation_for_view=DS2xTKMAAAAJ:sfsSB7lKuh0C,2019
Ariane Middel,"II (2016). Remote sensing of the surface urban heat island and land architecture in Phoenix, Arizona: combined effects of land composition and configuration and cadastral …",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DS2xTKMAAAAJ&citation_for_view=DS2xTKMAAAAJ:aCwMkEyfDy8C,2016
Ariane Middel,Mapping Europe into local climate zones,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DS2xTKMAAAAJ&citation_for_view=DS2xTKMAAAAJ:anDooRL1HQEC,2019
Ariane Middel,"Micrometeorological determinants of pedestrian thermal exposure during record-breaking heat in Tempe, Arizona: Introducing the MaRTy observational platform",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DS2xTKMAAAAJ&citation_for_view=DS2xTKMAAAAJ:J6OZcwVsj5AC,2019
Ariane Middel,Opportunities and challenges for personal heat exposure research,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DS2xTKMAAAAJ&citation_for_view=DS2xTKMAAAAJ:MqTxh1vmwXEC,2017
Ariane Middel,Sky View Factor footprints for urban climate modeling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DS2xTKMAAAAJ&citation_for_view=DS2xTKMAAAAJ:h9G0ZmjYpDoC,2018
Ariane Middel,Urban form and composition of street canyons: A human-centric big data and deep learning approach,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DS2xTKMAAAAJ&citation_for_view=DS2xTKMAAAAJ:Zbx7W2Xs4QsC,2019
Ariane Middel,Cooling hot cities: a systematic and critical review of the numerical modelling literature,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DS2xTKMAAAAJ&citation_for_view=DS2xTKMAAAAJ:654Jc7Ppz2kC,2021
Ariane Middel,"Impacts of green roofs on water, temperature, and air quality: A bibliometric review",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DS2xTKMAAAAJ&citation_for_view=DS2xTKMAAAAJ:HoDPlbN_d1QC,2021
Ariane Middel,Integrated assessment of urban overheating impacts on human life,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DS2xTKMAAAAJ&citation_for_view=DS2xTKMAAAAJ:gL9scSG3K_gC,2022
Ariane Middel,"Assessing local climate zones in arid cities: The case of Phoenix, Arizona and Las Vegas, Nevada",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DS2xTKMAAAAJ&citation_for_view=DS2xTKMAAAAJ:aU4yMueWZ3QC,2018
Ariane Middel,Energy saving potential of fragmented green spaces due to their temperature regulating ecosystem services in the summer,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DS2xTKMAAAAJ&citation_for_view=DS2xTKMAAAAJ:uWy0R8PweswC,2016
Ariane Middel,The co-production of sustainable future scenarios,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DS2xTKMAAAAJ&citation_for_view=DS2xTKMAAAAJ:4uoR24qA-WYC,2020
Ariane Middel,Solar reflective pavements—A policy panacea to heat mitigation?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DS2xTKMAAAAJ&citation_for_view=DS2xTKMAAAAJ:oE_QS-WwsdAC,2020
Ariane Middel,Does the spatial arrangement of urban landscape matter? Examples of urban warming and cooling in Phoenix and Las Vegas,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DS2xTKMAAAAJ&citation_for_view=DS2xTKMAAAAJ:Zph67rFs4hoC,2015
Ariane Middel,European climate change perceptions: Public support for mitigation and adaptation policies,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DS2xTKMAAAAJ&citation_for_view=DS2xTKMAAAAJ:HDshCWvjkbEC,2016
Ariane Middel,Exploring diurnal thermal variations in urban local climate zones with ECOSTRESS land surface temperature data,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DS2xTKMAAAAJ&citation_for_view=DS2xTKMAAAAJ:w5CyTnyFq80C,2021
Aviral Shrivastava,EPIMap: Using epimorphism to map applications on CGRAs,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zlzK-v0AAAAJ&citation_for_view=zlzK-v0AAAAJ:70eg2SAEIzsC,2012
Aviral Shrivastava,Power-efficient system design,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zlzK-v0AAAAJ&citation_for_view=zlzK-v0AAAAJ:CHSYGLWDkRkC,2010
Aviral Shrivastava,REGIMap: Register-aware application mapping on coarse-grained reconfigurable architectures (CGRAs),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zlzK-v0AAAAJ&citation_for_view=zlzK-v0AAAAJ:pyW8ca7W8N0C,2013
Aviral Shrivastava,Hardware acceleration of sparse and irregular tensor computations of ML models: A survey and insights,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zlzK-v0AAAAJ&citation_for_view=zlzK-v0AAAAJ:mlAyqtXpCwEC,2021
Aviral Shrivastava,Dmazerunner: Executing perfectly nested loops on dataflow accelerators,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zlzK-v0AAAAJ&citation_for_view=zlzK-v0AAAAJ:8d8msizDQcsC,2019
Aviral Shrivastava,nZDC: A compiler technique for near zero silent data corruption,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zlzK-v0AAAAJ&citation_for_view=zlzK-v0AAAAJ:PELIpwtuRlgC,2016
Aviral Shrivastava,RAMP: Resource-aware mapping for CGRAs,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zlzK-v0AAAAJ&citation_for_view=zlzK-v0AAAAJ:q3CdL3IzO_QC,2018
Aviral Shrivastava,Mitigating soft error failures for multimedia applications by selective data protection,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zlzK-v0AAAAJ&citation_for_view=zlzK-v0AAAAJ:9yKSN-GCB0IC,2006
Aviral Shrivastava,Encoding and monitoring responsibility sensitive safety rules for automated vehicles in signal temporal logic,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zlzK-v0AAAAJ&citation_for_view=zlzK-v0AAAAJ:_FM0Bhl9EiAC,2019
Aviral Shrivastava,CuMAPz: A tool to analyze memory access patterns in CUDA,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zlzK-v0AAAAJ&citation_for_view=zlzK-v0AAAAJ:Zph67rFs4hoC,2011
Aviral Shrivastava,A graph drawing based spatial mapping algorithm for coarse-grained reconfigurable architectures,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zlzK-v0AAAAJ&citation_for_view=zlzK-v0AAAAJ:MXK_kJrjxJIC,2009
Aviral Shrivastava,SPKM: A novel graph drawing based algorithm for application mapping onto coarse-grained reconfigurable architectures,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zlzK-v0AAAAJ&citation_for_view=zlzK-v0AAAAJ:zYLM7Y9cAGgC,2008
Aviral Shrivastava,An efficient compiler technique for code size reduction using reduced bit-width ISAs,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zlzK-v0AAAAJ&citation_for_view=zlzK-v0AAAAJ:u5HHmVD_uO8C,2002
Aviral Shrivastava,RIM: Robust intersection management for connected autonomous vehicles,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zlzK-v0AAAAJ&citation_for_view=zlzK-v0AAAAJ:Ug5p-4gJ2f0C,2018
Aviral Shrivastava,Quantitative analysis of control flow checking mechanisms for soft errors,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zlzK-v0AAAAJ&citation_for_view=zlzK-v0AAAAJ:nb7KW1ujOQ8C,2014
Aviral Shrivastava,Heap data management for limited local memory (llm) multi-core processors,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zlzK-v0AAAAJ&citation_for_view=zlzK-v0AAAAJ:eQOLeE2rZwMC,2010
Aviral Shrivastava,Compilation techniques for energy reduction in horizontally partitioned cache architectures,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zlzK-v0AAAAJ&citation_for_view=zlzK-v0AAAAJ:u-x6o8ySG0sC,2005
Aviral Shrivastava,Branch-aware loop mapping on cgras,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zlzK-v0AAAAJ&citation_for_view=zlzK-v0AAAAJ:KxtntwgDAa4C,2014
Aviral Shrivastava,Bypass aware instruction scheduling for register file power reduction,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zlzK-v0AAAAJ&citation_for_view=zlzK-v0AAAAJ:d1gkVwhDpl0C,2006
Aviral Shrivastava,Exploiting residue number system for power-efficient digital signal processing in embedded processors,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zlzK-v0AAAAJ&citation_for_view=zlzK-v0AAAAJ:M3ejUd6NZC8C,2009
Chitta Baral,"Knowledge representation, reasoning and declarative problem solving",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9Yd716IAAAAJ&citation_for_view=9Yd716IAAAAJ:u5HHmVD_uO8C,2003
Chitta Baral,Beyond the imitation game: Quantifying and extrapolating the capabilities of language models,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9Yd716IAAAAJ&citation_for_view=9Yd716IAAAAJ:08Fspu5RUkwC,2023
Chitta Baral,Cross-task generalization via natural language crowdsourcing instructions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9Yd716IAAAAJ&citation_for_view=9Yd716IAAAAJ:JMEA1obkRKoC,2021
Chitta Baral,Super-naturalinstructions: Generalization via declarative instructions on 1600+ nlp tasks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9Yd716IAAAAJ&citation_for_view=9Yd716IAAAAJ:0IGl3jR3yJEC,2022
Chitta Baral,Logic programming and knowledge representation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9Yd716IAAAAJ&citation_for_view=9Yd716IAAAAJ:u-x6o8ySG0sC,1994
Chitta Baral,Probabilistic reasoning with answer sets,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9Yd716IAAAAJ&citation_for_view=9Yd716IAAAAJ:hqOjcs7Dif8C,2009
Chitta Baral,COMBINING KNOWLEDGE BASES CONSISTING OF FIRST‐ORDER THEORIES,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9Yd716IAAAAJ&citation_for_view=9Yd716IAAAAJ:d1gkVwhDpl0C,1992
Chitta Baral,Combining multiple knowledge bases,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9Yd716IAAAAJ&citation_for_view=9Yd716IAAAAJ:9yKSN-GCB0IC,1991
Chitta Baral,Reframing instructional prompts to gptk's language,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9Yd716IAAAAJ&citation_for_view=9Yd716IAAAAJ:KjnAay3C9J8C,2021
Chitta Baral,Language-conditioned imitation learning for robot manipulation tasks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9Yd716IAAAAJ&citation_for_view=9Yd716IAAAAJ:ypzvKOdbExQC,2020
Chitta Baral,What to do and how to do it: Translating natural language directives into temporal and dynamic logic representation for goal management and action execution,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9Yd716IAAAAJ&citation_for_view=9Yd716IAAAAJ:Wp0gIr-vW9MC,2009
Chitta Baral,Reasoning agents in dynamic domains,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9Yd716IAAAAJ&citation_for_view=9Yd716IAAAAJ:qjMakFHDy7sC,2000
Chitta Baral,Discovering drug–drug interactions: a text-mining and reasoning approach based on properties of drug metabolism,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9Yd716IAAAAJ&citation_for_view=9Yd716IAAAAJ:M05iB0D1s5AC,2010
Chitta Baral,Computational complexity of planning and approximate planning in the presence of incompleteness,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9Yd716IAAAAJ&citation_for_view=9Yd716IAAAAJ:zYLM7Y9cAGgC,2000
Chitta Baral,"Representing actions: Laws, observations and hypotheses",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9Yd716IAAAAJ&citation_for_view=9Yd716IAAAAJ:2osOgNQ5qMEC,1997
Chitta Baral,Formalizing sensing actions—A transition function based approach,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9Yd716IAAAAJ&citation_for_view=9Yd716IAAAAJ:IjCSPb-OGe4C,2001
Chitta Baral,Mutant: A training paradigm for out-of-distribution generalization in visual question answering,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9Yd716IAAAAJ&citation_for_view=9Yd716IAAAAJ:jtusTj6o6osC,2020
Chitta Baral,Learning to use formulas to solve simple arithmetic problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9Yd716IAAAAJ&citation_for_view=9Yd716IAAAAJ:t1niNHmIXQYC,2016
Chitta Baral,Dualities between alternative semantics for logic programming and nonmonotonic reasoning,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9Yd716IAAAAJ&citation_for_view=9Yd716IAAAAJ:UeHWp8X0CEIC,1993
Chitta Baral,Lila: A unified benchmark for mathematical reasoning,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9Yd716IAAAAJ&citation_for_view=9Yd716IAAAAJ:UbXTy9l1WKIC,2022
Chris Bryan,Temporal summary images: An approach to narrative visualization via interactive annotation generation and placement,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Y73FwSkAAAAJ&citation_for_view=Y73FwSkAAAAJ:u-x6o8ySG0sC,2016
