author,title,year,link,ss_title,ss_url,ss_venue,ss_year,ss_authors,ss_abstract
Subbarao Kambhampati,Multiresolution path planning for mobile robots,1986,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yl3L07sAAAAJ&citation_for_view=yl3L07sAAAAJ:u-x6o8ySG0sC,,,,,,
Subbarao Kambhampati,A validation-structure-based theory of plan modification and reuse,1992,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yl3L07sAAAAJ&citation_for_view=yl3L07sAAAAJ:u5HHmVD_uO8C,A Validation-Structure-Based Theory of Plan Modification and Reuse,https://www.semanticscholar.org/paper/e916298b927099b9eda7e894b287271e5038d91d,Artificial Intelligence,1992,"S. Kambhampati, J. Hendler",
Subbarao Kambhampati,Large language models still can't plan (a benchmark for LLMs on planning and reasoning about change),2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yl3L07sAAAAJ&citation_for_view=yl3L07sAAAAJ:4UtermoNRQAC,,,,,,
Subbarao Kambhampati,Plan explanations as model reconciliation: Moving beyond explanation as soliloquy,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yl3L07sAAAAJ&citation_for_view=yl3L07sAAAAJ:r7QigD7TRWAC,,,,,,
Subbarao Kambhampati,On the planning abilities of large language models-a critical investigation,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yl3L07sAAAAJ&citation_for_view=yl3L07sAAAAJ:FuNQ1RLggQIC,On the Planning Abilities of Large Language Models - A Critical Investigation,https://www.semanticscholar.org/paper/dedfe929d182cc3537a9ed765d589b4735ce062a,Neural Information Processing Systems,2023,"Karthik Valmeekam, Matthew Marquez, S. Sreedharan, Subbarao Kambhampati","Intrigued by the claims of emergent reasoning capabilities in LLMs trained on general web corpora, in this paper, we set out to investigate their planning capabilities. We aim to evaluate (1) the effectiveness of LLMs in generating plans autonomously in commonsense planning tasks and (2) the potential of LLMs as a source of heuristic guidance for other agents (AI planners) in their planning tasks. We conduct a systematic study by generating a suite of instances on domains similar to the ones employed in the International Planning Competition and evaluate LLMs in two distinct modes: autonomous and heuristic. Our findings reveal that LLMs' ability to generate executable plans autonomously is rather limited, with the best model (GPT-4) having an average success rate of ~12% across the domains. However, the results in the heuristic mode show more promise. In the heuristic mode, we demonstrate that LLM-generated plans can improve the search process for underlying sound planners and additionally show that external verifiers can help provide feedback on the generated plans and back-prompt the LLM for better plan generation."
Subbarao Kambhampati,"Position: LLMs Can’t Plan, But Can Help Planning in LLM-Modulo Frameworks",2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yl3L07sAAAAJ&citation_for_view=yl3L07sAAAAJ:pIp0rujYkN4C,,,,,,
Subbarao Kambhampati,Planning as constraint satisfaction: Solving the planning graph by compiling it into CSP,2001,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yl3L07sAAAAJ&citation_for_view=yl3L07sAAAAJ:IjCSPb-OGe4C,Planning as constraint satisfaction: Solving the planning graph by compiling it into CSP,https://www.semanticscholar.org/paper/44882ed20e489fb0232f845942b347ba712356e3,Artificial Intelligence,2001,"M. Do, S. Kambhampati",
Subbarao Kambhampati,A survey of moving target defenses for network security,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yl3L07sAAAAJ&citation_for_view=yl3L07sAAAAJ:9nEbuwLZtFEC,A Survey of Moving Target Defenses for Network Security,https://www.semanticscholar.org/paper/8611d33e837ff1ebd963ce88a669e78291399081,IEEE Communications Surveys and Tutorials,2019,"Sailik Sengupta, Ankur Chowdhary, Abdulhakim Sabur, Dijiang Huang, Adel Alshamrani, S. Kambhampati","Network defenses based on traditional tools, techniques, and procedures (TTP) fail to account for the attacker’s inherent advantage present due to the static nature of network services and configurations. To take away this asymmetric advantage, Moving Target Defense (MTD) continuously shifts the configuration of the underlying system, in turn reducing the success rate of cyberattacks. In this survey, we analyze the recent advancements made in the development of MTDs and highlight (1) how these defenses can be defined using common terminology, (2) can be made more effective with the use of artificial intelligence techniques for decision making, (3) be implemented in practice and (4) evaluated. We first define an MTD using a simple and yet general notation that captures the key aspects of such defenses. We then categorize these defenses into different sub-classes depending on what they move, when they move and how they move. In trying to answer the latter question, we showcase the use of domain knowledge and game-theoretic modeling can help the defender come up with effective and efficient movement strategies. Second, to understand the practicality of these defense methods, we discuss how various MTDs have been implemented and find that networking technologies such as Software Defined Networking and Network Function Virtualization act as key enablers for implementing these dynamic defenses. We then briefly highlight MTD test-beds and case-studies to aid readers who want to examine or deploy existing MTD techniques. Third, our survey categorizes proposed MTDs based on the qualitative and quantitative metrics they utilize to evaluate their effectiveness in terms of security and performance. We use well-defined metrics such as risk analysis and performance costs for qualitative evaluation and metrics based on Confidentiality, Integrity, Availability (CIA), attack representation, QoS impact, and targeted threat models for quantitative evaluation. Finally, we show that our categorization of MTDs is effective in identifying novel research areas and highlight directions for future research."
Subbarao Kambhampati,Planbench: An extensible benchmark for evaluating large language models on planning and reasoning about change,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yl3L07sAAAAJ&citation_for_view=yl3L07sAAAAJ:5kgRglCLipYC,,,,,,
Subbarao Kambhampati,Leveraging pre-trained large language models to construct and utilize world models for model-based task planning,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yl3L07sAAAAJ&citation_for_view=yl3L07sAAAAJ:DRUjQUnLNDcC,,,,,,
Subbarao Kambhampati,Sapa: A multi-objective metric temporal planner,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yl3L07sAAAAJ&citation_for_view=yl3L07sAAAAJ:UeHWp8X0CEIC,Sapa: A Multi-objective Metric Temporal Planner,https://www.semanticscholar.org/paper/02e212cd3d0c2d0dd1cacdaaddc018fe6fa38484,Journal of Artificial Intelligence Research,2003,"M. Do, S. Kambhampati","SAPA is a domain-independent heuristic forward chaining planner that can handle durative actions, metric resource constraints, and deadline goals. It is designed to be capable of handling the multi-objective nature of metric temporal planning. Our technical contributions include (i) planning-graph based methods for deriving heuristics that are sensitive to both cost and makespan (ii) techniques for adjusting the heuristic estimates to take action interactions and metric resource limitations into account and (iii) a linear time greedy post-processing technique to improve execution flexibility of the solution plans. An implementation of SAPA using many of the techniques presented in this paper was one of the best domain independent planners for domains with metric and temporal constraints in the third International Planning Competition, held at AIPS-02. We describe the technical details of extracting the heuristics and present an empirical evaluation of the current implementation of SAPA."
Subbarao Kambhampati,Planning as refinement search: A unified framework for evaluating design tradeoffs in partial-order planning,1995,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yl3L07sAAAAJ&citation_for_view=yl3L07sAAAAJ:d1gkVwhDpl0C,Planning as Refinement Search: A Unified Framework for Evaluating Design Tradeoffs in Partial-Order Planning,https://www.semanticscholar.org/paper/ac648a975bd1a4d82ca537053adff73afda44d5c,Artificial Intelligence,1995,"S. Kambhampati, Craig A. Knoblock, Qiang Yang",
Subbarao Kambhampati,When is temporal planning really temporal?,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yl3L07sAAAAJ&citation_for_view=yl3L07sAAAAJ:dhFuZR0502QC,,,,,,
Subbarao Kambhampati,Integration of biological sources: current systems and challenges ahead,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yl3L07sAAAAJ&citation_for_view=yl3L07sAAAAJ:9yKSN-GCB0IC,Integration of biological sources: current systems and challenges ahead,https://www.semanticscholar.org/paper/dd404be16d88e53c4aded2e4fb6d5f92cb5052ce,SGMD,2004,"Thomas Hernandez, S. Kambhampati",
Subbarao Kambhampati,Reviving partial order planning,2001,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yl3L07sAAAAJ&citation_for_view=yl3L07sAAAAJ:qjMakFHDy7sC,,,,,,
Subbarao Kambhampati,The emerging landscape of explainable ai planning and decision making,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yl3L07sAAAAJ&citation_for_view=yl3L07sAAAAJ:m1aD9PlKDecC,The Emerging Landscape of Explainable AI Planning and Decision Making,https://www.semanticscholar.org/paper/d1f9a55d0c03d13513048513b39f48dd77deb619,arXiv.org,2020,"Tathagata Chakraborti, S. Sreedharan, S. Kambhampati",
Subbarao Kambhampati,Plan explicability and predictability for robot task planning,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yl3L07sAAAAJ&citation_for_view=yl3L07sAAAAJ:CoqsOaBEKcQC,Plan explicability and predictability for robot task planning,https://www.semanticscholar.org/paper/98e0d0e31f44d35116d5685119b9f6f9741d3825,IEEE International Conference on Robotics and Automation,2015,"Yu Zhang, S. Sreedharan, Anagha Kulkarni, Tathagata Chakraborti, Hankui Zhuo, S. Kambhampati","Intelligent robots and machines are becoming pervasive in human populated environments. A desirable capability of these agents is to respond to goal-oriented commands by autonomously constructing task plans. However, such autonomy can add significant cognitive load and potentially introduce safety risks to humans when agents behave in unexpected ways. Hence, for such agents to be helpful, one important requirement is for them to synthesize plans that can be easily understood by humans. While there exists previous work that studied socially acceptable robots that interact with humans in “natural ways”, and work that investigated legible motion planning, there is no general solution for high level task planning. To address this issue, we introduce the notions of plan explicability and predictability. To compute these measures, first, we postulate that humans understand agent plans by associating abstract tasks with agent actions, which can be considered as a labeling process. We learn the labeling scheme of humans for agent plans from training examples using conditional random fields (CRFs). Then, we use the learned model to label a new plan to compute its explicability and predictability. These measures can be used by agents to proactively choose or directly synthesize plans that are more explicable and predictable to humans. We provide evaluations on a synthetic domain and with a physical robot to demonstrate the effectiveness of our approach."
Subbarao Kambhampati,# metoo through the lens of social media,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yl3L07sAAAAJ&citation_for_view=yl3L07sAAAAJ:sFUlmsclzkgC,,,,,,
Subbarao Kambhampati,Explicability? legibility? predictability? transparency? privacy? security? the emerging landscape of interpretable agent behavior,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yl3L07sAAAAJ&citation_for_view=yl3L07sAAAAJ:S1WaUgt8gYIC,Explicability? Legibility? Predictability? Transparency? Privacy? Security? The Emerging Landscape of Interpretable Agent Behavior,https://www.semanticscholar.org/paper/e4cd356bc95e98328be8928a2c1cce53e7976911,International Conference on Automated Planning and Scheduling,2018,"Tathagata Chakraborti, Anagha Kulkarni, S. Sreedharan, David E. Smith, S. Kambhampati","There has been significant interest of late in generating behavior of agents that is interpretable to the human (observer) in the loop. However, the work in this area has typically lacked coherence on the topic, with proposed solutions for “explicable”, “legible”, “predictable” and “transparent” planning with overlapping, and sometimes conflicting, semantics all aimed at some notion of understanding what intentions the observer will ascribe to an agent by observing its behavior. This is also true for the recent works on “security” and “privacy” of plans which are also trying to answer the same question, but from the opposite point of view – i.e. when the agent is trying to hide instead of reveal its intentions. This paper attempts to provide a workable taxonomy of relevant concepts in this exciting and emerging field of inquiry."
Yezhou Yang,Neural style transfer: A review,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k2suuZgAAAAJ&citation_for_view=k2suuZgAAAAJ:ALROH1vI_8AC,Neural Style Transfer: A Review,https://www.semanticscholar.org/paper/b0760764dc573b519f76d5a79531d49af333c67a,IEEE Transactions on Visualization and Computer Graphics,2017,"Yongcheng Jing, Yezhou Yang, Zunlei Feng, Jingwen Ye, Mingli Song","The seminal work of Gatys et al. demonstrated the power of Convolutional Neural Networks (CNNs) in creating artistic imagery by separating and recombining image content and style. This process of using CNNs to render a content image in different styles is referred to as Neural Style Transfer (NST). Since then, NST has become a trending topic both in academic literature and industrial applications. It is receiving increasing attention and a variety of approaches are proposed to either improve or extend the original NST algorithm. In this paper, we aim to provide a comprehensive overview of the current progress towards NST. We first propose a taxonomy of current algorithms in the field of NST. Then, we present several evaluation methods and compare different NST algorithms both qualitatively and quantitatively. The review concludes with a discussion of various applications of NST and open problems for future research. A list of papers discussed in this review, corresponding codes, pre-trained models and more comparison results are publicly available at: https://osf.io/f8tu4/."
Yezhou Yang,Corpus-guided sentence generation of natural images,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k2suuZgAAAAJ&citation_for_view=k2suuZgAAAAJ:W7OEmFMy1HYC,Corpus-Guided Sentence Generation of Natural Images,https://www.semanticscholar.org/paper/76a1dca3a9c2b0229c1b12c95752dcf40dc95a11,Conference on Empirical Methods in Natural Language Processing,2011,"Yezhou Yang, C. L. Teo, Hal Daumé, Y. Aloimonos",
Yezhou Yang,Robot Learning Manipulation Action Plans by “Watching” Unconstrained Videos from the World Wide Web,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k2suuZgAAAAJ&citation_for_view=k2suuZgAAAAJ:_axFR9aDTf0C,"Robot Learning Manipulation Action Plans by ""Watching"" Unconstrained Videos from the World Wide Web",https://www.semanticscholar.org/paper/e2b593ec292395182f5f6556d47bf3d38ec7e191,AAAI Conference on Artificial Intelligence,2015,"Yezhou Yang, Yi Li, C. Fermüller, Y. Aloimonos","
 
 In order to advance action generation and creation in robots beyond simple learned schemas we need computational tools that allow us to automatically interpret and represent human actions. This paper presents a system that learns manipulation action plans by processing unconstrained videos from the World Wide Web. Its goal is to robustly generate the sequence of atomic actions of seen longer actions in video in order to acquire knowledge for robots. The lower level of the system consists of two convolutional neural network (CNN) based recognition modules, one for classifying the hand grasp type and the other for object recognition. The higher level is a probabilistic manipulation action grammar based parsing module that aims at generating visual sentences for robot manipulation. Experiments conducted on a publicly available unconstrained video dataset show that the system is able to learn manipulation actions by ``watching'' unconstrained videos with high accuracy.
 
"
Yezhou Yang,ViTAA: Visual-Textual Attributes Alignment in Person Search by Natural Language,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k2suuZgAAAAJ&citation_for_view=k2suuZgAAAAJ:1yWc8FF-_SYC,ViTAA: Visual-Textual Attributes Alignment in Person Search by Natural Language,https://www.semanticscholar.org/paper/03a64b94882f3292ec81c3cf153cb2d7eebc509b,European Conference on Computer Vision,2020,"Zhe Wang, Zhiyuan Fang, Jun Wang, Yezhou Yang","Person search by natural language aims at retrieving a specific person in a large-scale image pool that matches the given textual descriptions. While most of the current methods treat the task as a holistic visual and textual feature matching one, we approach it from an attribute-aligning perspective that allows grounding specific attribute phrases to the corresponding visual regions. We achieve success as well as the performance boosting by a robust feature learning that the referred identity can be accurately bundled by multiple attribute visual cues. To be concrete, our Visual-Textual Attribute Alignment model (dubbed as ViTAA) learns to disentangle the feature space of a person into subspaces corresponding to attributes using a light auxiliary attribute segmentation computing branch. It then aligns these visual features with the textual attributes parsed from the sentences by using a novel contrastive learning loss. Upon that, we validate our ViTAA framework through extensive experiments on tasks of person search by natural language and by attribute-phrase queries, on which our system achieves state-of-the-art performances. Code will be publicly available upon publication."
Yezhou Yang,Transductive Unbiased Embedding for Zero-Shot Learning,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k2suuZgAAAAJ&citation_for_view=k2suuZgAAAAJ:HeT0ZceujKMC,,,,,,
Yezhou Yang,SEED: Self-supervised Distillation For Visual Representation,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k2suuZgAAAAJ&citation_for_view=k2suuZgAAAAJ:Br1UauaknNIC,,,,,,
Yezhou Yang,Image Understanding using Vision and Reasoning through Scene Description Graph,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k2suuZgAAAAJ&citation_for_view=k2suuZgAAAAJ:bKqednn6t2AC,Image Understanding using vision and reasoning through Scene Description Graph,https://www.semanticscholar.org/paper/e1e2e32f29cf7d23881e98dfe018d9049bdb070d,Computer Vision and Image Understanding,2018,"Somak Aditya, Yezhou Yang, Chitta Baral, Y. Aloimonos, C. Fermüller",
Yezhou Yang,MUTANT: A Training Paradigm for Out-of-Distribution Generalization in Visual Question Answering,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k2suuZgAAAAJ&citation_for_view=k2suuZgAAAAJ:WHdLCjDvYFkC,,,,,,
Yezhou Yang,Injecting Semantic Concepts into End-to-End Image Captioning,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k2suuZgAAAAJ&citation_for_view=k2suuZgAAAAJ:kWvqk_afx_IC,Injecting Semantic Concepts into End-to-End Image Captioning,https://www.semanticscholar.org/paper/45348358505da4158afb98e0e18ee4e384d8d798,Computer Vision and Pattern Recognition,2021,"Zhiyuan Fang, Jianfeng Wang, Xiaowei Hu, Lin Liang, Zhe Gan, Lijuan Wang, Yezhou Yang, Zicheng Liu","Tremendous progresses have been made in recent years in developing better image captioning models, yet most of them rely on a separate object detector to extract regional features. Recent vision-language studies are shifting towards the detector-free trend by leveraging grid representations for more flexible model training and faster inference speed. However, such development is primarily focused on image understanding tasks, and remains less investigated for the caption generation task. In this paper, we are concerned with a better-performing detector-free image captioning model, and propose a pure vision transformer-based image captioning model, dubbed as ViTCAP, in which grid representations are used without extracting the regional features. For improved performance, we introduce a novel Concept Token Network (CTN) to predict the semantic concepts and then incorporate them into the end-to-end captioning. In particular, the CTN is built on the basis of a vision transformer, and is designed to predict the concept tokens through a classification task, from which the rich semantic information contained greatly benefits the captioning task. Compared with the previous detector-based models, ViTCAP drastically simplifies the architectures and at the same time achieves competitive performance on various challenging image captioning datasets. In particular, ViTCAP reaches 138.1 CIDEr scores on COCO-caption Karpathy-split, 93.8 and 108.6 CIDEr scores on nocaps and Google-CC captioning datasets, respectively."
